user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
Vojtěch Hlaušek,"Poke bowl is definitely 5*, it was delicious, but we came there for the first time, we took a seat and we didn’t know that we have to order in person, so after more than 5 minutes of waiting we realised that something is wrong. So one star …",NEGATIVE,0.9860867261886597,4,2023-05-31 11:39,en,google_map
Thuy Bui,Best Poke bowl in town! Everything is fresh and the customer service is 5 stars.; Bạn nhân viên tên Anh Thư 100 đỉm  …,POSITIVE,0.9991581439971924,5,2023-10-18 11:39,vi,google_map
Kiều Trang Hoàng,Không gian cực kì xin; Bày trí món ăn thì đẹp mắt; Món anq theo kiểu poke ở hawai nên cực kì thích; Sẽ ủng hộ lại vào những lần sau,POSITIVE,0.9993176460266113,5,2023-06-28 11:39,vi,google_map
Khanh Kien,"Không gian yên tĩnh, mình tới ăn trưa, đồ ăn ngon và tươi, rất ngon và no. Nhân viên tư vấn nhiệt tình, nhất định sẽ quay lại quán, 10 điểm",POSITIVE,0.9998775720596313,5,2023-08-23 11:39,vi,google_map
Isabela Paredes,"Had a bowl here during my study abroad program and it was delicious! Quick service, great ambiance, and overall a very sweet spot.",POSITIVE,0.9998785257339478,5,2023-09-20 11:39,en,google_map
Eddy Philippe,"It’s one of those hidden-on-purpose gems in HCMC. The entrance looks like a Vespa cemetery, but once you climb the stairs, nothing but cute little businesses! The staff was super attentive and helped me out with ingredient selection, which …",POSITIVE,0.9992281198501587,5,2023-05-31 11:39,en,google_map
Tớ là Nhi,"Mình ăn ở Poke SG k ít lần, thường ở Thảo Điền và mọi thứ đều ok, đồ ăn ngon. Nma hm nay đặt ship từ Lý Tự Trọng thì thất vọng. Mình đặt trên app là 180k/suất nma tới nơi shipper bảo quán báo tăng 190k/suất rồi. Cái này do lỗi quán k update …",NEGATIVE,0.9914851784706116,1,2023-05-31 11:39,vi,google_map
Ruby Schlaker,"Some of the most delicious poke I have ever had!! So many options and helpful friendly staff :) Great value for money, they really pack in as many topping as they can! Highly recommend.",POSITIVE,0.9998034834861755,5,2023-04-05 11:39,en,google_map
Mayank Bhatnagar,Amazing food. Very reasonable price! Very clean!; The staff was friendly. Seem to routinely get foreigner clients. Lots of options and very clean. Small area to eat. Cozy setting,POSITIVE,0.9997137188911438,5,2023-06-28 11:39,en,google_map
Nhung Nguyen,"Very fresh bowl with colorful. The price is 180k a little high for a mixed bowl which is already listed in menu. The space is small with only 2 staffs while a lot of guest queue and online orders, so avoid go to eat on peak hours.",NEGATIVE,0.9613295793533325,4,2022-12-14 11:39,en,google_map
Uyên Phương,"ở đây đồ ăn siu ngon, tươi, sạch, những món ăn hoà quyện vào nhau tạo nên 1 hương vị hấp dẫn khó cưỡng. Đã vậy nhân viên phục vụ còn chu đáo, tận tình, rất chăm take care khách hàng. Nói chung là rất đáng thử nha mọi người !!!",POSITIVE,0.9998667240142822,5,2023-11-08 11:39,vi,google_map
Academy Newgen,"It’s so good to be here, fresh meal, nice service, i’ll come again  …",POSITIVE,0.9998749494552612,5,2023-11-11 11:39,en,google_map
Lucas Vereggen,It is a very well hidden pokebowl restaurant. The pokebowls were amazing with a lot of options to choose from.,POSITIVE,0.9997320771217346,5,2023-08-23 11:40,en,google_map
Ibrahim Sheikh,"An unbelievable poke bowl for the cost. The ingredients and fish are fresh, the bowls are very pretty and the unlimited toppings is a huge plus. It is a lot of food for only about $7 USD and the eatery is very comfortable. Highly recommend.",POSITIVE,0.9997598528862,5,2022-12-14 11:40,en,google_map
chris an,Some sanitary issues:; ; 1) putting spoon on top of charity box. Money is very dirty and no napkins or …,NEGATIVE,0.9959373474121094,3,2023-04-05 11:40,en,google_map
Lan Nguyen,"For the price of 180k you get to pick and choose your own sushi (up to two choices).  For the base they have salad, brown rice, and sushi rice.  You can choose a combination and do half rice nd half salad for example.  They have plenty of …",NEGATIVE,0.8348680138587952,5,2022-12-14 11:40,en,google_map
Loli Yum,"Quán xinh xắn dễ thương. Cơm ở đây siu ngon mà còn healthy nữa. Cơm trộn ăn rất vừa miệng, nhiều rau mà ăn không hề ngán. Nhất là có cá hồi sốt cay ăn cùng cơm ngon lắm, thêm xoài và các topping khác đều rất hợp miệng. Một tô vậy ăn xong no căng cả buổi luôn. Vừa ngon, vừa no vừa tốt sức khoẻ luôn nè!!!",POSITIVE,0.9997699856758118,5,2022-12-14 11:40,vi,google_map
Lucie Schima,"Incredibly cute place with delicious food, great quality! The staff was very helpful. I will definitely be back. Couldn't wait to dig in so the only evidence have is my empty bowl  …",POSITIVE,0.9990429282188416,5,2023-05-03 11:40,en,google_map
Thien Nguyen Q.,"- Food is ok but it’s NOT a good value for money (190k/bowl, fixed price); - Payment is annoying. They said credit card accepted but I went there 4 times, can’t pay by my credit card which is excused the machine broken  (and no QR …",NEGATIVE,0.9989390969276428,3,2023-10-18 11:40,en,google_map
Le Quynh Trang,"Thái độ phục vụ của nhân viên quá tệ, mình vs bạn còn ngồi và chưa tới h đóng cửa thì nhân viên đã bắt đầu dọn bàn và quét nhà, mặc cho khách vẫn còn như đuổi khách. Lúc về thì ko thấy bóng dáng bạn nhân viên nào, mình có gọi để hỏi 1 vài …",NEGATIVE,0.9979761242866516,1,2023-05-31 11:40,vi,google_map
Caitlin McMenamin,Fresh and delicious food! I came at lunchtime and had to wait in line for a long time as they were preparing lots of Grab orders. I was impressed by the price (180 000 dong) given you can choose unlimited toppings for free. Very worthwhile!,POSITIVE,0.9996875524520874,5,2022-12-14 11:40,en,google_map
Oana-Meda Pop,Amazing place where we had some of the best food we sampled in Saigon the ingredients were super fresh and prepared with care.the staff is super attentive to your needs speaks excellent English. they saw that I was sad because of a recent …,POSITIVE,0.9994369149208069,5,2020-03-11 11:40,en,google_map
Katie Coulson,10/10 food and service. Ingredients are so fresh and taste delicious considering they’re so healthy! I love the way you order to build your own bowl as I can be fussy with food. I will 100% be back several times before the end of my trip.,POSITIVE,0.9997890591621399,5,2022-12-14 11:40,en,google_map
Loungovietnam111,"Very good place. Nice decoration, spacious with a lot of cool corners. The food is amazing, always very fresh and delicious, we have always been a big fan of Poke since we first ate at Nguyen Hue branch. The staffs were so nice and helpful. …",POSITIVE,0.9998873472213745,5,2022-01-12 11:40,en,google_map
Diệp Phi Phàm,Loved the whole atmosphere of the place. It was my first time there and the staff were very helpful and patient in helping me pick out the best ingredients for my first bowl. Would absolutely come back!,POSITIVE,0.9998589754104614,5,2023-10-18 11:40,en,google_map
Mi Dang,"Poke vẫn ngon như ngày nào, fresh, nhân viên dễ thương, không gian quán rộng rãi, chỗ ngồi thoải mái, khá là chill. Thích hợp cho những ai cần 1 không gian yên tĩnh vừa ăn uống trò chuyện nhẹ nhàng hoặc chỉ đơn giản là vừa ăn vừa thư giãn mà không sợ bị làm phiền bởi những bộn bề xung quanh.",POSITIVE,0.9998562335968018,5,2023-05-03 11:40,vi,google_map
Karim,"I love Poke Saigon! The food is so fresh and I feel great when I leave. It's also delicious. The bowls are well priced, the service is always great, and the food always tastes delicious. I'm never disappointed when I visit.",POSITIVE,0.9998849630355835,5,2022-12-14 11:40,en,google_map
quang Dinh,"Không gian quán thoáng, có phòng lạnh và ngoài trời. Nhân viên thân thiện. Đồ ăn healthy vừa khẩu vị",POSITIVE,0.9994713664054871,5,2023-10-18 11:40,vi,google_map
My Phạm,"Quán có không gian dễ thương, khá là yên bình. Đồ ăn vẫn như mọi lần ngon xuất sắc. Đáng lẽ mình sẽ cho 5 sao nếu không vì trải nghiệm siêu tệ về vấn đề thanh toán mà mình đã gặp ở cả 2 chi nhánh. Quán nên có cách xử lý linh hoạt hơn với …",POSITIVE,0.9980574250221252,4,2022-12-14 11:40,vi,google_map
Angelica Leong San Loi,"Super super delicious and healthy poke bowl, must try in Vietnam. The gate is a little shabby, but the interior decoration and design is simple and modern with lots of greenery. Can’t pay by card only cash.",POSITIVE,0.9987305998802185,5,2022-12-14 11:40,en,google_map
Sally Cool,"Great food, healthy style with reasonable price!; It’s located at the 1st floor of the building, so a little bit difficult to find. But trust me, when you see it, it’s like a bright garden lying inside an old …",POSITIVE,0.9991963505744934,5,2020-03-11 11:40,en,google_map
vu vietanh,Không thể ngờ trong 1 chung cư kiểu cũ lại có nhiều quán ăn và cafe hay như vậy. Quán sạch đẹp. Đồ ăn ngon. Giá phù hợp với quận Nhất  …,POSITIVE,0.9991801381111145,4,2022-12-14 11:40,vi,google_map
José Luis Griffo Chacón,"I went today to have a falafel bowl for lunch. The experience was really positive, the place was neat and the decoration is nice. The food itself was beautifully presented, and it was tasty, balanced and good. I will definitely come back! …",POSITIVE,0.9998878240585327,5,2023-10-18 11:40,en,google_map
Erica Lin,"Husband and I are from California we live in Taiwan now. While on vacation in Saigon, we had the best poke bowl, ever. It doesn’t get better than this. The flavor is perfect, the price is beyond reasonable. I wish we had one of these in …",POSITIVE,0.9877862930297852,5,2020-03-11 11:40,en,google_map
Linhbee93,"Hop bán salad trộn cực kỳ ngon, best ở sài gòn luôn ạ. Phần tự chọn 180k nhưng ăn rất đang tiền nhen. Ngon nhiều và vị rất vừa miệng luôn á. Rất nên đi ăn nhen mọi người  …",POSITIVE,0.9997110962867737,5,2022-12-14 11:40,vi,google_map
Chen Pya,"Poke chi Nhánh Lý Tự Trọng siêu dễ thương luôn á. Mình ăn ở đây 3-4 lần rồi , lần nào cũng ưng cả. Không gian có cả ngoài trời và trong nhà nên siêu nhiều chỗ ngồi. Thoáng mát , sạch sẽ, decor đẹp nữa. Đặc biệt mấy bạn nv dth cực kỳ, niềm nở và hỗ trợ nhiệt tình vô cùng.",POSITIVE,0.9998059868812561,5,2023-05-03 11:40,vi,google_map
Tamsyn S,Absolutely delicious! So healthy and fresh. They were careful with mine and my friend’s dietary requirements (Vegetarian & vegan) and you felt good after eating it. …,POSITIVE,0.999883770942688,5,2020-03-11 11:40,en,google_map
May Hako,"Đồ ăn ngoongg, nhân viên (bé Bông, bé Hải Trân, bé Hà Phương) dễ thương nhiệt tình, quán 10 điểm nhưng mà máy lạnh ko mát (mong quán cải thiện về độ lạnh của quán vì Saigon dạo này đang rất nóng) ",NEGATIVE,0.9868653416633606,5,2023-05-31 11:41,vi,google_map
Jian James,"The rice and salad is great and fresh! A big portion of bowl, definitely good for a guy, with stomach people, suggest to share with two. High recommend",POSITIVE,0.9998397827148438,5,2020-03-11 11:41,en,google_map
Hien Nguyen The,"Đồ ăn tươi ngon,không khí dễ chịu. Phục vụ đồ ăn rất nhanh và nhiệt tình. Ăn trưa và thư giãn ở đây cũng rất ok",POSITIVE,0.9998859167098999,5,2022-12-14 11:41,vi,google_map
"Kelvin Tan, Real Estate Agent",delicious poke bowl. love the combination of spicy salmon and tuna. you can add any additional topping plus free salad and brown serving if you want more. …,POSITIVE,0.9997655749320984,5,2023-04-05 11:41,en,google_map
Matthias,"Fresh ingredients and great taste. Staff is very friendly too. You can choose as many toppings as you like. The place is a little hidden, you have to walk through the blue door and up to the first floor, just keep walking :)",POSITIVE,0.9994924068450928,5,2023-10-18 11:41,en,google_map
Kaylyn Goh,"I bought a regular poke bowl for 180k VND, which gives 2 scoops of proteins and unlimited toppings. While the food might be pricey compared to other food options you can find, the poke bowl was worth it! Fresh ingredients with a whole lot …",POSITIVE,0.9997209906578064,5,2022-12-14 11:41,en,google_map
M Green,"Excellent little place to grab a healthy meal. It has a large area inside with air conditioning and a few nice open air tables outside. To get there, you have to walk through the ""garage""/ground floor, up a flight of stairs in the back and …",POSITIVE,0.9986286163330078,5,2022-12-14 11:41,en,google_map
Meme Poon,"Nice salad bowl, chill atmosphere with air con",POSITIVE,0.9969118237495422,5,2023-07-26 11:41,en,google_map
Christian Hoffmann,"Really tasty bowl, nice staff and we likes that you can create your own bowl in 5 steps. Highly recommended :)",POSITIVE,0.9998441934585571,5,2023-11-10 11:41,en,google_map
Sue Nguyen,"Quán nhỏ xinh nằm ở tầng 2 chung cư ở Lý Tự Trọng, món ăn ngon, cá hồi tươi, nhiều loại sốt và topping để lựa chọn. Nên thử sốt mè dễ ăn hoặc mayo cay, topping có xoài, đậu nhật, trứng cút ngâm tương rất ngon. Không gian quán siêu xinh, tạo …",POSITIVE,0.9996523857116699,5,2020-03-11 11:41,vi,google_map
geoffrey salmon,Had a lovely poke bowl. Great service and friendly staff. Will definitely be back soon.,POSITIVE,0.9998327493667603,5,2023-06-28 11:41,en,google_map
Amanda Toth,"Lovely fresh poke bowls! Although not directly located on the street front, I found this easy to find nonetheless. Trust Google maps! …",POSITIVE,0.9998005032539368,5,2023-04-05 11:41,en,google_map
Hans T,Đi ăn 2 lần rồi nhưng vẫn rất chất lượng ạ  …,POSITIVE,0.9988113641738892,5,2023-10-18 11:41,vi,google_map
Amanda Isberg,We had lunch here at about one on a Saturday. We managed to snag the last table! …,NEGATIVE,0.9364215135574341,5,2021-02-10 11:41,en,google_map
Trung Diep,If you love Poke bowls this is the place! 10/10. The food and fish are super fresh and tasty. You also get unlimited toppings and if you want more rice or salad while you're eating you can ask for more free of charge. First time having poke …,POSITIVE,0.9992689490318298,5,2022-12-14 11:41,en,google_map
Liva KroghLarsen,"Really good poke, nice restaurant and lovely girls working there! They are doing a great job! The only negative was that it felt a little bit weird being asked directly to give a review - didn’t feel like you had much of a choice and didn’t …",NEGATIVE,0.8261694312095642,4,2023-06-28 11:41,en,google_map
SeongJu,So beautiful and lovely place and of course poke is soooo delicious  …,POSITIVE,0.9998812675476074,5,2023-11-08 11:41,en,google_map
Yen Pham,Ngon ngon; Nay biết thêm 1 chỗ mới.; Mọi người nên đến 1 lần để thử nha.,POSITIVE,0.9994980096817017,5,2023-10-18 11:41,vi,google_map
Simon T Katan,Delicious tasty food.; The staff is very friendly and speaking English perfect.; The only thing that not nice is the entrance and the stairs. But after this a …,POSITIVE,0.9947546720504761,4,2021-02-10 11:41,en,google_map
Ari Pham,"Spacious, beautifully decorated store. Coconut 40k VND. Their main business is poke. Cafe and drinks are complementary business. Eco friendly utilities: coconut bowls, grass straws. …",POSITIVE,0.9991980195045471,3,2021-02-10 11:41,en,google_map
marcus E,"What a wonderful and beutiful little gem in the heart of Saigon.; First of all, it is a bit hidden and hard to find from the street.; But once you found it by going up a staircase and walked 10 meters will you find …",POSITIVE,0.9991281628608704,5,2019-04-10 11:41,en,google_map
Diana Alvarez Kaba,"Super cute place, excellent and generous poke and very friendly service. I'd come back!; Ps: don't get discouraged by the semi sketchy entrance, the place is wonderful upstairs.",POSITIVE,0.9998726844787598,5,2023-04-05 11:41,en,google_map
Vi Thái Bảo,"Nhân viên kute, món ăn ngon, không gian ấm áp, rộng rãi",POSITIVE,0.9998760223388672,5,2023-06-28 11:41,vi,google_map
Hải Vy Đoàn,Ăn Healthy & Balanced - Poke sài gòn!; Nghe đồn chỗ này đã lâu nay mới có dịp đi. Dạo này rộ lên phong trào ăn uống healthy nên hầu như ai cũng chọn chỗ này. Mình đi ăn thử và cảm thấy bị nghiện hẳn …,POSITIVE,0.9902620911598206,5,2022-12-14 11:41,vi,google_map
Lan T.,"The cutest hidden gem in district 1 for gourmet poke bowls! While located on the first floor of a run down building, this spot is super chic. The staff speaks English and the food is delicious. For 150k VND, you pick your 2 scoops of …",POSITIVE,0.9996953010559082,5,2020-03-11 11:42,en,google_map
Hồng Phương,"Mình đến được 2 lần. Không gian quán có nét đặc trưng, món ăn ngon, phục vụ ok. Món phù hợp dành cho các bạn thích ăn món healthy. 1 tô tầm 180-220, nước ép nguyên chất 50k …",POSITIVE,0.9996832609176636,5,2022-12-14 11:42,vi,google_map
Vân Đỗ,"Không gian thiết kế theo hướng resort rất là thoải mái. Đồ ăn tươi ngon, mấy món này có đồ sống nhiều nên nếu không tươi sẽ dễ nhận ra",POSITIVE,0.9998151659965515,5,2023-07-26 11:42,vi,google_map
Teacher Graham,First Poke and it did not disappoint! Clean and fresh ingredients high quality and made quickly. Beautiful little hidden spot on the second floor with kind staff that had great customer service skills and touched base with us and other customers was nice to see. Worth the dollars for sure will be back again soon :),POSITIVE,0.9998266100883484,5,2020-03-11 11:42,en,google_map
Thảo Ngân Trần,"I am a customer that ordered food at your restaurant. I complain about packaging service here. I ordered 3 dishes to take home from this restaurant. Even though I was very careful, when I got home, the food fell out of the box. This made me …",NEGATIVE,0.9965813755989075,3,2023-10-18 11:42,en,google_map
Hoang Amy,"Mình tưởng ăn sẽ lạt miệng mà không ngờ cực ngon luôn ấy 🥹 mình đi 2 người, lúc đầu nhìn tô to quá sợ ăn không hết nổi nên chia ra một đứa ăn nửa phần, mà ăn xong rất nhẹ bụng không có bị no, nên còn muốn gọi thêm một bát nữa cơ 🫠 …",POSITIVE,0.9620698094367981,5,2022-12-14 11:42,vi,google_map
David Harper,"I struggle with how anyone could give this less than 5 stars. It is great food at a great price with friendly service. You pick whether you want salad, rice or brown rice or mix for a base. You pick 2 seafood, and any mix of other fresh …",POSITIVE,0.9990891218185425,5,2020-03-11 11:42,en,google_map
Huy Nguyễn,Lúc nào tới đồ ăn cũng tươi ngon ; Quán có không gian rất chill để nhâm nhi hết tô :)) …,POSITIVE,0.9981908202171326,5,2022-12-14 11:42,vi,google_map
Tuan Tran Quang,"Quán đẹp, vị trí không quá khó tìm, đồ ăn ngon nhưng gạo lứt hơi khô & nguội. Giá tầm trung",POSITIVE,0.9992080330848694,5,2022-12-14 11:42,vi,google_map
Hasan,Deeecent bowls with fresh ingredients! And so many options to choose.Cozy atmosphere to spend your spare time…english speaking and helpful personnel. Special thanks to Ms. Vy for introducing the place  …,POSITIVE,0.9995716214179993,5,2023-09-20 11:42,en,google_map
Marie Raymond,"So good, do not hesitate to go.  Best poke bowl in town.  Walk in the garage, go up on flight of stairs, it is at the end of the hall.  The girls are nice the food is great.  Enjoy!",POSITIVE,0.999860405921936,5,2021-02-10 11:42,en,google_map
ForGetMeNot,"It's little difficult to find this restaurant when you come at the first time; However, I was there twice during my staying; Very cute decoration restaurant. …",POSITIVE,0.9987189769744873,5,2022-01-12 11:42,en,google_map
Richard Yong,This place is in an old charming building in the heart of town. It's brightly lit and plays cool music. There are many many options on how you can configure yout salad. …,POSITIVE,0.9997367262840271,5,2020-03-11 11:42,en,google_map
Srht01 Srht,"If you like bowls with vegetables or fruits, I recommend that for you.; The restaurant is above a motorbike shop, you have to go through there and go upstairs. The selection for the vegetables is good, but no that good for …",NEGATIVE,0.5933054685592651,4,2019-04-10 11:42,en,google_map
Michael San Felipe,"Subway and Chipotle visited Hawaii and decided to use the freshest ingredients to make Poke bowls. Start with rice or salad or both, then choose your protein, then sauces then toppings. The toppings option is a little overwhelming at first, …",NEGATIVE,0.9895824193954468,5,2020-03-11 11:42,en,google_map
Dex Nguyen,"Really nice English speaking staff. She was helpful and helped us picking the ingredients for our first time trying Poke. The ingredients are fresh enough and the proportion is as you can see, huge. We asked for and they happily added more …",POSITIVE,0.9998623132705688,5,2019-04-10 11:42,en,google_map
Kha Kanie Nguyen,"delicious and fresh food, nice atmosphere. this place is easy to reach",POSITIVE,0.9998868703842163,5,2023-07-26 11:42,en,google_map
Gia LIEU,"Food ok but service is very bad. Slow, and not letting people know when queuing when out of ingredients. On top, not polite at all. Such a pity.",NEGATIVE,0.9987327456474304,1,2023-11-08 11:42,en,google_map
Shyn Marie Ebol,Great food and nice chill place.; ; To get to the place you walk into a motorcylce parking space then a few flight …,POSITIVE,0.9997056126594543,5,2019-04-10 11:42,en,google_map
n.,"It's very good! Best poke bowl I've tried. The price is decent (mine total is around VND 200k) and they are generous with the portion. All ingredients are fresh from the carbs, protein salmon down to the veggies. You can feel it that they prepare it with heart! Definitely will come back again!",POSITIVE,0.9998507499694824,5,2021-02-10 11:42,en,google_map
Vy Đỗ,"Đi vào buổi trưa nên hơi đông , phải đợi gần 15p mới kêu được; Giá mỗi tô 180k được 2 cup nhân tự chọn có cá hồi cá ngừ tôm , bạch tuột còn các loại rau ăn kèm thì thêm tuỳ thích",NEGATIVE,0.9768202304840088,4,2022-12-14 11:42,vi,google_map
Michelle Dinh,"Đồ ăn ở đây lạ và ngon nha, nó kiểu như salad và trên đó kèm theo nhiều topping gồm rau hạt, nước sốt thịt cá, ăn rất ngon miệng và healthy, chỉ là giá thành khá cao. Không gian ở đây sạch sẽ và thoáng mát, chỉ có điều là nếu ai k rành sẽ rất khó tìm ra cái nhà hàng này vì nó nằm trên một toà chung cư cũ",POSITIVE,0.9994794726371765,4,2022-12-14 11:42,vi,google_map
Haley Ho,"There was one employee for the evening shift who wasn't very friendly, especially to a friend I'm taking here to try poke for the first time. It seems like she didn't want to help the first-time customer order the toppings for her …",NEGATIVE,0.9994339346885681,5,2023-09-20 11:42,en,google_map
Christian McKinley,"I had a poke bowl (spicy tuna and salmon) and a juice. Both were great, poke bowl tasted fresh and healthy, highly recommend.",POSITIVE,0.999868631362915,5,2023-11-01 11:42,en,google_map
Harrison Sheremeta,"Very tasty and quality poke bowls in the heart of Saigon! We were very impressed with the quality of ingredients, especially since the price was much lower than comparable poke at home. The staff were very friendly and helpful as well! The location is a couple of floors up in the building and there is no elevator, so keep that in mind.",POSITIVE,0.9996121525764465,5,2021-02-10 11:43,en,google_map
Shoe “Shoe” Thompson,150k for a bowl.; ; Easy to order with a lot of free reign for what your want. Cool quiet lounge-y …,POSITIVE,0.9958943128585815,5,2019-04-10 11:43,en,google_map
Daniel Do,Been a Poke fan for awhile. They offer a large quantity for a solid price. Fresh and tasty. Give it a shot. Service it great. Miss Uyen is awesome,POSITIVE,0.9998680353164673,4,2023-07-26 11:43,en,google_map
Lilly Luu,"Poke rất tươi và ngon, Pitaya cũng vậy. Không gian của quán đẹp và rất mát mắt nhưng bất tiện là không có dịch vụ trả tiền qua thẻ.",POSITIVE,0.9991493225097656,4,2020-03-11 11:43,vi,google_map
Anh Nguyen,"Quán poke ưa thích nhất của mình và đây là cơ sở mình thích nhất ở SG. Đồ ăn tươi, ngon, topping nhiều. Giá hơi cao một chút nhưng xứng đáng với chất lượng.",POSITIVE,0.9998652935028076,5,2023-10-18 11:43,vi,google_map
Lan Anh Nguyen Tran,Good service - Fresh ingredient - good taste - Must try 🫶 …,POSITIVE,0.9886838793754578,5,2023-11-10 11:43,en,google_map
Hanna Mickiewicz,It's a cute place hidden in one of Saigon's apartment buildings. Everything is super clean and there are some comfortable seats. I haven't tried their poke but I had a pitaya bowl. It was tasty but I feel like some extra toppings would make it even better. The smoothie part was frozen - basically like a sorbet.,NEGATIVE,0.9466679096221924,4,2019-04-10 11:43,en,google_map
tri minh,"Đồ ăn ổn , bày trí sạch sẽ. Tuy nhiên chắc đi vào giữa trưa nên hơi nóng xíu",POSITIVE,0.99922776222229,5,2023-11-08 11:43,vi,google_map
Taro,"I've had numerous bowls from here and it's always been good. If you like Poke Bowls, this place is a must try in Saigon",POSITIVE,0.9991554021835327,5,2022-12-14 11:43,en,google_map
Agi Ro,"One of the hidden treasures of the city. Once you arrive to the address, you must walk into a tiny motorbike parking garage room towards a grand staircase at the back. Then just walk up a floor & you'll be outside again, you will see signs …",POSITIVE,0.9866824150085449,4,2019-04-10 11:43,en,google_map
